"CoreID","treatment","sat_level","Mass","formula","presence","n"
"FT001","Wetting",100,353.0514506,"C15H14O10",1,5
"FT001","Wetting",100,353.0877878,"C16H18O9",1,5
"FT001","Wetting",100,353.1030975,"C20H18O6",1,5
"FT001","Wetting",100,353.1242404,"C17H22O8",1,5
"FT001","Wetting",100,353.1605688,"C18H26O7",1,5
"FT001","Wetting",100,353.1969873,"C19H30O6",1,5
"FT001","Wetting",100,353.2003625,"C16H34O6S1",1,5
"FT001","Wetting",100,353.2333721,"C20H34O5",1,4
"FT001","Wetting",100,354.0831087,"C15H17O9N1",1,5
"FT001","Wetting",100,354.1195027,"C16H21O8N1",1,4
"FT001","Wetting",100,355.0095907,"C17H8O9",1,5
"FT001","Wetting",100,355.0307012,"C14H12O11",1,5
"FT001","Wetting",100,355.0459226,"C18H12O8",1,5
"FT001","Wetting",100,355.0565543,"C9H16O9N4S1",1,4
"FT001","Wetting",100,355.0670632,"C15H16O10",1,5
"FT001","Wetting",100,355.0823565,"C19H16O7",1,5
"FT001","Wetting",100,355.1035068,"C16H20O9",1,5
"FT001","Wetting",100,355.1187251,"C20H20O6",1,5
"FT001","Wetting",100,355.1398202,"C17H24O8",1,5
"FT001","Wetting",100,355.176261,"C18H28O7",1,5
"FT001","Wetting",100,355.212643,"C19H32O6",1,5
"FT001","Wetting",100,356.0987169,"C15H19O9N1",1,5
"FT001","Wetting",100,357.0252484,"C17H10O9",1,5
"FT001","Wetting",100,357.0463288,"C14H14O11",1,5
"FT001","Wetting",100,357.0615808,"C18H14O8",1,5
"FT001","Wetting",100,357.0827279,"C15H18O10",1,5
"FT001","Wetting",100,357.0980175,"C19H18O7",1,5
"FT001","Wetting",100,357.1191413,"C16H22O9",1,5
"FT001","Wetting",100,357.1343735,"C20H22O6",1,5
"FT001","Wetting",100,357.1554821,"C17H26O8",1,5
"FT001","Wetting",100,357.1707611,"C21H26O5",1,5
"FT001","Wetting",100,357.1772193,"C17H31O2N2S1P1",1,4
"FT001","Wetting",100,357.1919064,"C18H30O7",1,5
"FT001","Wetting",100,357.2282684,"C19H34O6",1,5
"FT001","Wetting",100,358.1143684,"C15H21O9N1",1,3
"FT001","Wetting",100,359.0044716,"C16H8O10",1,5
"FT001","Wetting",100,359.0175052,"C13H13O10P1",1,4
"FT001","Wetting",100,359.0256178,"C13H12O12",1,5
"FT001","Wetting",100,359.0408903,"C17H12O9",1,5
"FT001","Wetting",100,359.0620229,"C14H16O11",1,5
"FT001","Wetting",100,359.0772578,"C18H16O8",1,5
"FT001","Wetting",100,359.0983672,"C15H20O10",1,5
"FT001","Wetting",100,359.1136269,"C19H20O7",1,5
"FT001","Wetting",100,359.1347705,"C16H24O9",1,5
"FT001","Wetting",100,359.1500351,"C20H24O6",1,5
"FT001","Wetting",100,359.1711639,"C17H28O8",1,5
"FT001","Wetting",100,359.1864093,"C21H28O5",1,5
"FT001","Wetting",100,359.2075321,"C18H32O7",1,5
"FT001","Wetting",100,360.0725037,"C17H15O8N1",1,5
"FT001","Wetting",100,361.0201717,"C16H10O10",1,5
"FT001","Wetting",100,361.0565469,"C17H14O9",1,5
"FT001","Wetting",100,361.0776589,"C14H18O11",1,5
"FT001","Wetting",100,361.0929045,"C18H18O8",1,5
"FT001","Wetting",100,361.1140552,"C15H22O10",1,5
"FT001","Wetting",100,361.1293029,"C19H22O7",1,5
"FT001","Wetting",100,361.1504207,"C16H26O9",1,5
"FT001","Wetting",100,361.1656778,"C20H26O6",1,5
"FT001","Wetting",100,361.2020342,"C21H30O5",1,5
"FT001","Wetting",100,362.0517626,"C16H13O9N1",1,5
"FT001","Wetting",100,363.0357936,"C16H12O10",1,5
"FT001","Wetting",100,363.0510817,"C20H12O7",1,4
"FT001","Wetting",100,363.0721825,"C17H16O9",1,5
"FT001","Wetting",100,363.0835559,"C16H16O8N2",1,4
"FT001","Wetting",100,363.0852222,"C14H21O9P1",1,4
"FT001","Wetting",100,363.0932603,"C14H20O11",1,4
"FT001","Wetting",100,363.108548,"C18H20O8",1,5
"FT001","Wetting",100,363.1449713,"C19H24O7",1,5
"FT001","Wetting",100,363.1813554,"C20H28O6",1,5
"FT001","Wetting",100,363.217721,"C21H32O5",1,5
"FT001","Wetting",100,364.0674319,"C16H15O9N1",1,5
"FT001","Wetting",100,364.1038304,"C17H19O8N1",1,5
"FT001","Wetting",100,364.2259905,"C17H36O5N1P1",1,3
"FT001","Wetting",100,365.0150679,"C15H10O11",1,5
"FT001","Wetting",100,365.0302962,"C19H10O8",1,4
"FT001","Wetting",100,365.0513937,"C16H14O10",1,5
"FT001","Wetting",100,365.0666432,"C20H14O7",1,5
"FT001","Wetting",100,365.0878183,"C17H18O9",1,5
"FT001","Wetting",100,365.0990521,"C16H18O8N2",1,5
"FT001","Wetting",100,365.1241961,"C18H22O8",1,5
"FT001","Wetting",100,365.1605578,"C19H26O7",1,5
"FT001","Wetting",100,365.196989,"C20H30O6",1,5
"FT001","Wetting",100,366.0466814,"C15H13O10N1",1,4
"FT001","Wetting",100,366.083081,"C16H17O9N1",1,5
"FT001","Wetting",100,366.1194556,"C17H21O8N1",1,4
"FT001","Wetting",100,367.0095991,"C18H8O9",1,5
"FT001","Wetting",100,367.0306441,"C15H12O11",1,5
"FT001","Wetting",100,367.0459207,"C19H12O8",1,5
"FT001","Wetting",100,367.0670824,"C16H16O10",1,5
"FT001","Wetting",100,367.0823713,"C20H16O7",1,5
"FT001","Wetting",100,367.1034761,"C17H20O9",1,5
"FT001","Wetting",100,367.1187257,"C21H20O6",1,5
"FT001","Wetting",100,367.1398049,"C18H24O8",1,5
"FT001","Wetting",100,367.1762498,"C19H28O7",1,5
"FT001","Wetting",100,367.2126251,"C20H32O6",1,5
"FT001","Wetting",100,367.2159781,"C17H36O6S1",1,5
"FT001","Wetting",100,368.0622997,"C15H15O10N1",1,5
"FT001","Wetting",100,368.0986987,"C16H19O9N1",1,5
"FT001","Wetting",100,369.010018,"C14H10O12",1,5
"FT001","Wetting",100,369.0252507,"C18H10O9",1,5
"FT001","Wetting",100,369.0463272,"C15H14O11",1,5
"FT001","Wetting",100,369.0615719,"C19H14O8",1,5
"FT001","Wetting",100,369.0722398,"C10H18O9N4S1",1,3
"FT001","Wetting",100,369.0827239,"C16H18O10",1,5
"FT001","Wetting",100,369.0980228,"C20H18O7",1,5
"FT001","Wetting",100,369.1191571,"C17H22O9",1,5
"FT001","Wetting",100,369.1343672,"C21H22O6",1,5
"FT001","Wetting",100,369.1554613,"C18H26O8",1,5
"FT001","Wetting",100,369.1707064,"C22H26O5",1,5
"FT001","Wetting",100,369.1918878,"C19H30O7",1,5
"FT001","Wetting",100,369.2283178,"C20H34O6",1,5
"FT001","Wetting",100,370.0779965,"C15H17O10N1",1,4
"FT001","Wetting",100,370.114319,"C16H21O9N1",1,5
"FT001","Wetting",100,371.0044459,"C17H8O10",1,5
"FT001","Wetting",100,371.0255965,"C14H12O12",1,5
"FT001","Wetting",100,371.0408674,"C18H12O9",1,5
"FT001","Wetting",100,371.0514481,"C9H16O10N4S1",1,4
"FT001","Wetting",100,371.0620061,"C15H16O11",1,5
"FT001","Wetting",100,371.0772555,"C19H16O8",1,5
"FT001","Wetting",100,371.0983616,"C16H20O10",1,5
"FT001","Wetting",100,371.1136154,"C20H20O7",1,5
"FT001","Wetting",100,371.1347738,"C17H24O9",1,5
"FT001","Wetting",100,371.1499775,"C21H24O6",1,5
"FT001","Wetting",100,371.1711897,"C18H28O8",1,5
"FT001","Wetting",100,371.1864382,"C22H28O5",1,5
"FT001","Wetting",100,371.207546,"C19H32O7",1,5
"FT001","Wetting",100,371.243954,"C20H36O6",1,5
"FT001","Wetting",100,372.0724497,"C18H15O8N1",1,5
"FT001","Wetting",100,372.130062,"C16H23O9N1",1,3
"FT001","Wetting",100,373.0201336,"C17H10O10",1,5
"FT001","Wetting",100,373.0331239,"C14H15O10P1",1,4
"FT001","Wetting",100,373.0412353,"C14H14O12",1,5
"FT001","Wetting",100,373.0564755,"C18H14O9",1,5
"FT001","Wetting",100,373.0776209,"C15H18O11",1,5
"FT001","Wetting",100,373.0929036,"C19H18O8",1,5
"FT001","Wetting",100,373.1140474,"C16H22O10",1,5
"FT001","Wetting",100,373.1292845,"C20H22O7",1,5
"FT001","Wetting",100,373.1423451,"C17H27O7P1",1,5
"FT001","Wetting",100,373.1503832,"C17H26O9",1,5
"FT001","Wetting",100,373.1656336,"C21H26O6",1,5
"FT001","Wetting",100,373.1867773,"C18H30O8",1,5
"FT001","Wetting",100,373.2020633,"C22H30O5",1,5
"FT001","Wetting",100,373.2231954,"C19H34O7",1,5
"FT001","Wetting",100,374.0517457,"C17H13O9N1",1,5
"FT001","Wetting",100,374.1092988,"C15H21O10N1",1,3
"FT001","Wetting",100,374.9994616,"C16H8O11",1,5
"FT001","Wetting",100,375.0358241,"C17H12O10",1,5
"FT001","Wetting",100,375.0568913,"C14H16O12",1,5
"FT001","Wetting",100,375.0721271,"C18H16O9",1,5
"FT001","Wetting",100,375.0932844,"C15H20O11",1,5
"FT001","Wetting",100,375.1085746,"C19H20O8",1,5
"FT001","Wetting",100,375.1297354,"C16H24O10",1,5
"FT001","Wetting",100,375.1449579,"C20H24O7",1,5
"FT001","Wetting",100,375.1660375,"C17H28O9",1,5
"FT001","Wetting",100,375.181269,"C21H28O6",1,5
"FT001","Wetting",100,375.20243,"C18H32O8",1,4
"FT001","Wetting",100,375.2177149,"C22H32O5",1,5
"FT001","Wetting",100,376.0309943,"C16H11O10N1",1,3
"FT001","Wetting",100,376.0673684,"C17H15O9N1",1,5
"FT001","Wetting",100,376.1038126,"C18H19O8N1",1,4
"FT001","Wetting",100,376.2526257,"C19H39O4N1S1",1,4
"FT001","Wetting",100,377.0150444,"C16H10O11",1,5
"FT001","Wetting",100,377.0514228,"C17H14O10",1,5
"FT001","Wetting",100,377.0644668,"C14H19O10P1",1,4
"FT001","Wetting",100,377.0666665,"C21H14O7",1,4
"FT001","Wetting",100,377.0725183,"C14H18O12",1,4
"FT001","Wetting",100,377.087793,"C18H18O9",1,5
"FT001","Wetting",100,377.0989697,"C17H18O8N2",1,4
"FT001","Wetting",100,377.1008586,"C15H23O9P1",1,4
"FT001","Wetting",100,377.1089215,"C15H22O11",1,3
"FT001","Wetting",100,377.1241907,"C19H22O8",1,5
"FT001","Wetting",100,377.1605886,"C20H26O7",1,5
"FT001","Wetting",100,377.1969754,"C21H30O6",1,5
"FT001","Wetting",100,378.0467067,"C16H13O10N1",1,5
"FT001","Wetting",100,378.0831153,"C17H17O9N1",1,5
"FT001","Wetting",100,378.1194813,"C18H21O8N1",1,4
"FT001","Wetting",100,379.0306796,"C16H12O11",1,5
"FT001","Wetting",100,379.0458962,"C20H12O8",1,5
"FT001","Wetting",100,379.0670396,"C17H16O10",1,5
"FT001","Wetting",100,379.0781836,"C16H16O9N2",1,4
"FT001","Wetting",100,379.103503,"C18H20O9",1,5
"FT001","Wetting",100,379.1146869,"C17H20O8N2",1,4
"FT001","Wetting",100,379.1398426,"C19H24O8",1,5
"FT001","Wetting",100,379.1761798,"C20H28O7",1,5
"FT001","Wetting",100,379.2126594,"C21H32O6",1,5
"FT001","Wetting",100,380.0623231,"C16H15O10N1",1,5
"FT001","Wetting",100,380.1351212,"C18H23O8N1",1,3
"FT001","Wetting",100,381.0099154,"C15H10O12",1,5
"FT001","Wetting",100,381.0251893,"C19H10O9",1,5
"FT001","Wetting",100,381.0463394,"C16H14O11",1,5
"FT001","Wetting",100,381.0616041,"C20H14O8",1,5
"FT001","Wetting",100,381.0827445,"C17H18O10",1,5
"FT001","Wetting",100,381.0980185,"C21H18O7",1,5
"FT001","Wetting",100,381.1191184,"C18H22O9",1,5
"FT001","Wetting",100,381.1343909,"C22H22O6",1,3
"FT001","Wetting",100,381.1555123,"C19H26O8",1,5
"FT001","Wetting",100,381.1919237,"C20H30O7",1,5
"FT001","Wetting",100,381.2282955,"C21H34O6",1,5
"FT001","Wetting",100,381.231643,"C18H38O6S1",1,5
"FT001","Wetting",100,382.0780162,"C16H17O10N1",1,5
"FT001","Wetting",100,382.114315,"C17H21O9N1",1,5
"FT001","Wetting",100,383.0045012,"C18H8O10",1,5
"FT001","Wetting",100,383.0256037,"C15H12O12",1,5
"FT001","Wetting",100,383.0408446,"C19H12O9",1,5
"FT001","Wetting",100,383.0619525,"C16H16O11",1,5
"FT001","Wetting",100,383.0772265,"C20H16O8",1,5
"FT001","Wetting",100,383.0984052,"C17H20O10",1,5
"FT001","Wetting",100,383.113689,"C21H20O7",1,5
"FT001","Wetting",100,383.1347802,"C18H24O9",1,5
"FT001","Wetting",100,383.1500124,"C22H24O6",1,5
"FT001","Wetting",100,383.1711103,"C19H28O8",1,5
"FT001","Wetting",100,383.2075425,"C20H32O7",1,5
"FT001","Wetting",100,383.2439448,"C21H36O6",1,5
"FT001","Wetting",100,384.0936089,"C16H19O10N1",1,5
"FT001","Wetting",100,384.1300327,"C17H23O9N1",1,5
"FT001","Wetting",100,385.0201671,"C18H10O10",1,5
"FT001","Wetting",100,385.0412872,"C15H14O12",1,5
"FT001","Wetting",100,385.0565157,"C19H14O9",1,5
"FT001","Wetting",100,385.0776091,"C16H18O11",1,5
"FT001","Wetting",100,385.0928737,"C20H18O8",1,5
"FT001","Wetting",100,385.1140463,"C17H22O10",1,5
"FT001","Wetting",100,385.1293388,"C21H22O7",1,4
"FT001","Wetting",100,385.1504834,"C18H26O9",1,5
"FT001","Wetting",100,385.1657037,"C22H26O6",1,5
"FT001","Wetting",100,385.1867998,"C19H30O8",1,5
"FT001","Wetting",100,385.2084519,"C19H35O2N2S1P1",1,4
"FT001","Wetting",100,385.2231898,"C20H34O7",1,5
